case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::170006-0,FRG-1,170006-0,PIMS,Barakahu,2026-04-23T08:40:00+05:00,2026-04-23T09:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170007-0,FRG-1,170007-0,PIMS,Barakahu,2026-04-23T08:45:00+05:00,2026-04-23T09:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170008-0,FRG-1,170008-0,PIMS,Barakahu,2026-04-23T08:50:00+05:00,2026-04-23T09:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170009-0,FRG-1,170009-0,PIMS,Barakahu,2026-04-23T08:55:00+05:00,2026-04-23T09:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170010-0,FRG-1,170010-0,PIMS,Barakahu,2026-04-23T09:00:00+05:00,2026-04-23T09:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170011-0,FRG-1,170011-0,PIMS,Barakahu,2026-04-23T09:05:00+05:00,2026-04-23T09:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170012-0,FRG-1,170012-0,PIMS,Barakahu,2026-04-23T09:10:00+05:00,2026-04-23T09:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170013-0,FRG-1,170013-0,PIMS,Barakahu,2026-04-23T09:15:00+05:00,2026-04-23T09:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170014-0,FRG-1,170014-0,PIMS,Barakahu,2026-04-23T09:20:00+05:00,2026-04-23T09:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170015-0,FRG-1,170015-0,PIMS,Barakahu,2026-04-23T09:25:00+05:00,2026-04-23T09:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170016-0,FRG-1,170016-0,PIMS,Barakahu,2026-04-23T09:30:00+05:00,2026-04-23T10:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170017-0,FRG-1,170017-0,PIMS,Barakahu,2026-04-23T09:35:00+05:00,2026-04-23T10:05:00+05:00,1800,30 min 0 sec,10
