stop_name_normalized,stop_name,routes,route_count,first_seen_sequence,latitude,longitude,coordinate_quality,coordinate_note,google_latitude,google_longitude,verification_note
mangial link road 1,Mangial Link Road 1,FR-13,1,15,33.6012,72.7935,verified,Seed coordinate for key Islamabad stop.,,,
mangial link road 2,Mangial Link Road 2,FR-13,1,17,33.6045,72.788,verified,Seed coordinate for key Islamabad stop.,,,
mangial main stop,Mangial Main Stop,FR-13,1,18,33.6005,72.782,verified,Seed coordinate for key Islamabad stop.,,,
mangu town,Mangu Town,FR-14A,1,2,33.741,73.175,verified,Seed coordinate for key Islamabad stop.,,,
margalla,Margalla,FR-10,1,21,33.7435,73.023,verified,Seed coordinate for key Islamabad stop.,,,
margalla town,Margalla Town,"FR-08C, FR-14",2,8,33.6738,73.1165,verified,Seed coordinate for key Islamabad stop.,,,
maroof international hospital,Maroof International Hospital,FR-06,1,16,33.696,73.018,verified,Seed coordinate for key Islamabad stop.,,,
masjid abu al qasim,Masjid Abu Al Qasim,FR-13,1,6,33.605,72.902,verified,Seed coordinate for key Islamabad stop.,,,
mehrabad,Mehrabad,FR-07,1,19,33.674,72.9915,verified,Seed coordinate for key Islamabad stop.,,,
melody market,Melody Market,FR-04,1,10,33.7088,73.0782,verified,Seed coordinate for key Islamabad stop.,,,
metro cnc,Metro CNC,FR-01,1,8,33.6644,73.052,verified,Seed coordinate for key Islamabad stop.,,,
metropolitan corporation,Metropolitan Corporation,FR-04,1,13,33.721,73.0945,verified,Seed coordinate for key Islamabad stop.,,,
ministry of foreign affairs,Ministry of Foreign Affairs,FR-04,1,18,33.7295,73.0935,verified,Seed coordinate for key Islamabad stop.,,,
mohri patak,Mohri Patak,FR-13,1,13,33.621,73.0845,verified,Seed coordinate for key Islamabad stop.,,,
motorway chowk,Motorway Chowk,FR-11,1,3,33.6412,72.934,verified,Seed coordinate for key Islamabad stop.,,,
muhallah noori bagh,Muhallah Noori Bagh,FR-04A,1,2,33.748,73.2015,verified,Seed coordinate for key Islamabad stop.,,,
multy stop,Multy Stop,FR-10,1,12,33.633,72.9465,verified,Seed coordinate for key Islamabad stop.,,,
multy stop islamabad gardens,Multy Stop/Islamabad Gardens,FR-05,1,9,33.633,72.9465,verified,Seed coordinate for key Islamabad stop.,,,
mumtaz city,Mumtaz City,FR-13,1,8,33.5855,72.8425,verified,Seed coordinate for key Islamabad stop.,,,
murghzar zoo,Murghzar Zoo,ST-01,1,12,33.738,73.079,verified,Seed coordinate for key Islamabad stop.,,,
muslim colony,Muslim Colony,FR-04,1,24,33.7435,73.1045,verified,Seed coordinate for key Islamabad stop.,,,
n 5 metro station,N-5 Metro Station,FR-13,1,2,33.6265,72.9155,verified,Seed coordinate for key Islamabad stop.,,,
n a r c colony,N.A.R.C Colony,FR-08C,1,13,33.6765,73.1255,verified,Seed coordinate for key Islamabad stop.,,,
n i h allergy center,N.I.H Allergy Center,FR-08C,1,14,33.678,73.1415,verified,Seed coordinate for key Islamabad stop.,,,
n5 metro station,N5 Metro Station,FR-11,1,2,33.6265,72.9155,verified,Seed coordinate for key Islamabad stop.,,,
nadra chowk,NADRA Chowk,FR-04,1,15,33.7265,73.0985,verified,Seed coordinate for key Islamabad stop.,,,
narc colony,NARC Colony,"FR-08A, ST-02",2,10,33.6765,73.1255,verified,Seed coordinate for key Islamabad stop.,,,
nih allergy center,NIH Allergy Center,"FR-08A, ST-02",2,11,33.678,73.1415,verified,Seed coordinate for key Islamabad stop.,,,
nori hospital,NORI Hospital,FR-07,1,3,33.693,73.0615,verified,Seed coordinate for key Islamabad stop.,,,
